item_id,genre
atherton-bell-fog,Fiction
hart-bellamy-trial,Detective and mystery stories
hart-bellamy-trial,Fiction
hart-bellamy-trial,Mystery and detective fiction
sabatini-bellarion-fortunate-romance,Fiction
sabatini-bellarion-fortunate-romance,History
locke-beloved-vagabond,Fiction
doblin-berlin-alexanderplatz,Fiction
henderson-bernard-shaw-playboy,Biography
trollope-bertrams,Fiction
trollope-bertrams,Love stories
deeping-bess-woods,Fiction
obrien-best-short-stories-1930,Fiction
obrien-best-short-stories-1933,Bibliographies
obrien-best-short-stories-1933,Bibliography
obrien-best-short-stories-1933,Fiction
obrien-best-short-stories-1933,Indexes
obrien-best-short-stories-1933,Short stories
obrien-best-short-stories-1935,Bibliographies
obrien-best-short-stories-1935,Bibliography
obrien-best-short-stories-1935,Fiction
obrien-best-short-stories-1935,Indexes
obrien-best-short-stories-1935,Short stories
obrien-best-short-stories-1936,Bibliographies
obrien-best-short-stories-1936,Bibliography
obrien-best-short-stories-1936,Fiction
obrien-best-short-stories-1936,Indexes
obrien-best-short-stories-1936,Short stories
obrien-best-short-stories-1925,Fiction
obrien-best-short-stories-1927,Bibliographies
obrien-best-short-stories-1927,Bibliography
obrien-best-short-stories-1927,Fiction
obrien-best-short-stories-1927,Indexes
obrien-best-short-stories-1927,Short stories
howells-dark-daylight,Fiction
zweig-beware-pity,Fiction
cabell-beyond-life,Fiction
oneill-beyond-horizon,Drama
hutchinson-big-business,Fiction
van-vorst-big-tremaine-novel,Fiction
gardner-bigger-come,Detective and mystery fiction
gardner-bigger-come,Fiction
gardner-bigger-come,Legal fiction
jenkins-bindle-chapters-life,Fiction
masefield-bird-dawning,Fiction
merezhkovsky-birth-gods,Fiction
smith-bishops-jaegers,Fiction
stevenson-black-arrow-tale,Adventure
stevenson-black-arrow-tale,Fiction
wright-black-boy,Biography
wright-black-boy,Fiction
powys-black-bryony,Fiction
coppard-black-dog-stories,Fiction
roberts-black-true-loves,Fiction
james-black-jacobins-toussaint,History
bailey-black-land-white,Detective and mystery fiction
bailey-black-land-white,Fiction
bailey-black-land-white,Mystery fiction
vandercook-black-majesty,Biography
vandercook-black-majesty,History
waugh-black-mischief,Fiction
chekhov-black-monk,Fiction
muir-black-pavilion-adventure,Fiction
dunsany-blessing-pan,Fiction
sadleir-blessington-dorsay,Biografieën (vorm)
miles-blind-men-crossing,Fiction
kay-scott-blind-mice,Fiction
mansfield-bliss-short-stories,Fiction
norris-blix-moran-lady,Fiction
gibbs-blood-relations,Fiction
parry-bloody-assize,History
stacpoole-blue-lagoon,Cloth case bindings
stacpoole-blue-lagoon,Fiction
stacpoole-blue-lagoon,Novels
stacpoole-blue-lagoon,Panel stamp bindings
snell-blue-murder,Periodicals
brown-body-turl,Fiction
dreiser-book,Biography
addis-book-job-book,"Criticism, interpretation, etc."
mencken-book-prefaces,"Criticism, interpretation, etc."
books-writers,Biography
wells-boon,Fiction
sinclair-boston,Fiction
sinclair-boston,Legal stories
gilligan-boundary-night,Fiction
crofts-box-office-murders,Fiction
hanley-boy,Dust jackets
hanley-boy,Fiction
barrie-boy-david-play,Drama
lawrence-boy-bush,Fiction
norris-brass-novel-marriage,Fiction
norris-brass-novel-marriage,Novels
huxley-brave-new-world,Dystopias
huxley-brave-new-world,Fiction
huxley-brave-new-world,Political fiction
huxley-brave-new-world,Psychological fiction
huxley-brave-new-world,Science fiction
stevens-brawny-man,Fiction
fleming-brazilian-adventure,Biography
norris-bread,Biography
norris-bread,Fiction
scott-bride-lammermoor,Fiction
huxley-brief-candles-stories,Fiction
huxley-brief-candles-stories,Opowiadanie angielskie
werner-brigham-young,Biography
werner-brigham-young,History
greene-brighton-rock,Fiction
greene-brighton-rock,Psychological fiction
greene-brighton-rock,Suspense fiction
callaghan-broken-journey,Fiction
tagore-broken-ties-stories,Fiction
tagore-broken-ties-stories,Translations
loeb-broom,Periodicals
cunninghame-graham-brought-forward,Fiction
wassermann-bula-matari-stanley,Biographie (Descripteur de forme)
wassermann-bula-matari-stanley,Biography
kennedy-bulls-eye,Fiction
wells-bulpington-blup,Fiction
bennett-buried-alive,Fiction
orwell-burmese-days,Fiction
orwell-burmese-days,History
london-burning-daylight,Fiction
london-burning-daylight,Western stories
walker-busmans-holiday-comedy,Fiction
sayers-busmans-honeymoon,Fiction
lawrence-young,Fiction
ferber-buttered-side-stories,Fiction
quennell-byron-years-fame,Advertisements
quennell-byron-years-fame,Biography
baring-c,Fiction
maugham-cakes-ale-skeleton,Fiction
lewis-caliphs-design,History
london-call-wild,Fiction
carswell-camomile,Fiction
machen-canning-wonder,Fiction
walpole-captain-nicholas,Fiction
walpole-captain-nicholas,Roman anglais
powys-captain-patch,Fiction
walpole-captives-novel-four,Fiction
galsworthy-captures,Fiction
caravan,Periodicals
harland-cardinals-snuff-box,Fiction
harland-cardinals-snuff-box,Roman américain
christie-cards-table,Detective and mystery fiction
christie-cards-table,Fiction
frank-carl-anna,Fiction
koch-carolina-folk-plays,Fiction
sabatini-carolinian,Fiction
sabatini-carolinian,History
lewisohn-case-mr-crump,Fiction
zweig-case-sergeant-grischa,Fiction
propper-case-cheating-bride,Fiction
gardner-case-howling-dog,Fiction
gardner-case-lame-canary,Fiction
gardner-case-lucky-legs,Detective and mystery fiction
gardner-case-lucky-legs,Fiction
gardner-case-lucky-legs,Legal fiction (Literature)
gardner-case-shoplifters-shoe,Fiction
gardner-case-substitute-face,Detective and mystery stories
gardner-case-substitute-face,Fiction
gardner-case-substitute-face,Legal stories
gardner-case-velvet-claws,Fiction
gardner-case-velvet-claws,Legal stories
gardner-case-velvet-claws,Mystery fiction
crofts-cask,Detective and mystery fiction
crofts-cask,Fiction
crofts-cask,Mystery fiction
cassells-german-english,Dictionaries
colum-castle-conquer,Fiction
baring-cats-cradle,Fiction
baring-cats-cradle,Juvenile works
baring-cats-cradle,Specimens
white-catharine-furze,Fiction
stevenson-catriona,Fiction
stevenson-catriona,History
stevenson-catriona,Juvenile works
clarke-cattledrive-connaught-poems,Translations
clarke-cattledrive-connaught-poems,Translations into English
verga-cavalleria-rusticana-stories,Fiction
verga-cavalleria-rusticana-stories,Translations
biggers-celebrated-cases-charlie,Fiction
honore-de-balzac-celibates,Fiction
yeats-celtic-twilight,Advertisements
frank-chalk-face,Fiction
howells-chance-acquaintance,Fiction
hardy-changed-man,Fiction
hardy-changed-man,Short stories
strachey-characters-commentaries,Essays (teksten)
thompson-chariot-wheels,Fiction
symons-charles-baudelaire-study,"Criticism, interpretation, etc."
drinkwater-charles-james-fox,Biografia
drinkwater-charles-james-fox,Biography
biggers-charlie-chan,Fiction
biggers-charlie-chan,Mystery fiction
chatto-windus-miscellany,Government publication
chatto-windus-miscellany,National government publication
ferber-cheerful-request,Fiction
mackail-chelbury-abbey,Fiction
eberhart-chiffon-scarf,Fiction
eberhart-chiffon-scarf,Romantic suspense fiction
stevenson-childs-garden-verses,Juvenile works
stevenson-childs-garden-verses,Poetry
dickens-childs-history-england,"Criticism, interpretation, etc."
herford-childs-primer-natural,Juvenile works
lewis-childermass,English fiction
mann-children-fools,Fiction
hamsun-children-age,Fiction
london-children-frost,Electronic books
zangwill-children-ghetto-study,Fiction
chang-china-crossroads-chinese,History
chang-china-crossroads-chinese,Outlines and syllabi
strong-chinas-millions,History
fenollosa-chinese-written-character,"Criticism, interpretation, etc."
hearn-chita-memory-last,Fiction
chekhov-chorus-girl-stories,Fiction
wells-christina-albertas-father,Fiction
maugham-christmas-holiday,Fiction
stravinsky-chronicle-life,Biographies
stravinsky-chronicle-life,Biography
ferber-cimarron,Fiction
white-clara-hopgood,Fiction
orwell-clergymans-daughter,Fiction
williams-clock-ticks,Fiction
macpherson-close,Periodicals
green-closed-garden,Fiction
cloud-unknowing,History
chesterton-club-queer-trades,Fiction
macmurray-clue-history,History
lang-cock-lane-common,Early works
eliot-cocktail-party-comedy,Comedies
eliot-cocktail-party-comedy,Comedy
young-cold-harbour,Fiction
richards-coleridge-imagination,"Criticism, interpretation, etc."
saintsbury-collected-essays-papers,"Criticism, interpretation, etc."
robinson-collected-poems,Fiction
robinson-collected-poems,Poezja amerykańska
hardy-collected-poems-thomas,Poetry
yeats-collected-poems-w,Collections
yeats-collected-poems-w,Poetry
lucas-colvins-friends,Biography
fauset-comedy-american-style,Fiction
baring-comfortless-memory,Fiction
ogrady-coming-cuculain,Romans (teksten)
moore-coming-gabrielle,Fiction
moore-coming-gabrielle,Plays
beals-coming-struggle-latin,History
marlowe-coming-sir-autobiography,Biography
mcalmon-companion-volume,Fiction
mcalmon-companion-volume,Private press books (Publishing)
ward-compelled-hero,Fiction
williams-complete-collected-poems,Biography
gould-concerning-lafcadio-hearn,Bibliography
joyce-concise-history-ireland,History
james-confidence,Fiction
twain-connecticut-yankee-king,Fiction
saintsbury-consideration-thackeray,Biography
ofaolain-constance-markievicz-average,Biography
contact-collection-contemporary,Fiction
contact-collection-contemporary,Private press books (Publishing)
boyd-contemporary-drama-ireland,"Criticism, interpretation, etc."
boyd-contemporary-drama-ireland,Drama
boyd-contemporary-drama-ireland,Plays (Performed Works)
boyd-contemporary-drama-ireland,Scripts (Documents)
lalou-contemporary-french-literature,"Criticism, interpretation, etc."
rose-contemporary-movements-european,"Criticism, interpretation, etc."
contemporary-poetry-prose,Periodicals
harris-contemporary-portraits,Biography
mirskij-contemporary-russian-literature,Biography
mirskij-contemporary-russian-literature,"Criticism, interpretation, etc."
lowes-convention-revolt-poetry,"Criticism, interpretation, etc."
benson-conventionalists,Fiction
chekhov-cooks-wedding-stories,Fiction
chekhov-cooks-wedding-stories,Translations
foster-coquette-history-eliza,Fiction
walling-corpse-green-pyjamas,Fiction
walling-corpse-green-pyjamas,Mystery fiction
maugham-cosmopolitans,Fiction
aiken-costumes-eros,Fiction
aiken-costumes-eros,Short stories
clouston-count-bunker,Fiction
scott-count-robert-paris,Fiction
gide-counterfeiters,Fiction
mirrlees-counterplot,Fiction
buchan-courts-morning,Fiction
buchan-courts-morning,Roman anglais
williams-craft-literature,"Criticism, interpretation, etc."
boyle-crazy-hunter-three,Fiction
lowndes-cressida-mystery,Fiction
lowndes-cressida-mystery,Mystery fiction
wild-crimes-cases-1933,Biography
graham-crimson-hairs-erotic,Erotica
graham-crimson-hairs-erotic,Fiction
west-crisis-criticism,"Criticism, interpretation, etc."
criterion,Periodicals
nathan-critic-drama,"Criticism, interpretation, etc."
wilde-critic-pall-mall,"Criticism, interpretation, etc."
wilde-critic-pall-mall,Reviews
macaulay-critical-historical-essays,"Criticism, interpretation, etc."
macaulay-critical-historical-essays,Essays
macaulay-critical-historical-essays,History
macaulay-critical-historical-essays,Literary criticism
ford-critical-attitude,"Criticism, interpretation, etc."
roberts-critique-poetry,Poetry
huxley-crome-yellow,Fiction
hart-crooked-lane,Fiction
grierson-cross-currents-english,"Criticism, interpretation, etc."
colum-cross-roads-ireland,Biography
de-la-mare-crossings-fairy-play,Fiction
de-la-mare-crossings-fairy-play,Limitation statements (Publishing)
butts-crystal-cabinet,Biography
cozzens-cure-flesh,Fiction
bates-cut-come-fourteen,Fiction
gardner-calls-murder,Fiction
gardner-calls-murder,Legal stories
gardner-calls-murder,Mystery fiction
west-h-lawrence,Biography
potter-h-lawrence-first,Biography
brewster-h-lawrence-reminiscences,Personal correspondence
james-daisy-miller,Fiction
frederic-damnation-theron-ware,Fiction
williamson-dandelion-days,Fiction
baring-daphne-adeane,Fiction
saroyan-daring-young-man,Fiction
galsworthy-dark-flower,Romans (teksten)
walpole-dark-forest,Fiction
stern-dark-gentleman,Fiction
green-dark-journey,Fiction
frank-dark-mother,Fiction
mackenzie-darkening-green,Fiction
mackenzie-darkening-green,Roman anglais
breuer-daughter,Fiction
smedley-daughter-earth,Autobiographical fiction
smedley-daughter-earth,Fiction
smedley-daughter-earth,Novels
dickens-david-copperfield,Fiction
mackail-davids-day,Fiction
bosanquet-days-attica,Literatura podróżnicza angielska
wilde-profundis,Gedichten (teksten)
newman-dead-lovers-faithful,Fiction
reilly-dead-man-control,Fiction
reilly-dead-man-control,Mystery fiction
footner-dead-mans-hat,Fiction
footner-dead-mans-hat,Mystery fiction
bamford-dear-miss-heber,Sources
williams-death-answers-bell,Fiction
williams-death-answers-bell,Mystery fiction
connington-death-swaythling-court,Fiction
carr-death-five-boxes,Fiction
romains-death-nobody,Fiction
merezhkovsky-death-gods,Biographical fiction
merezhkovsky-death-gods,Fiction
merezhkovsky-death-gods,History
merezhkovsky-death-gods,Russian fiction
bowen-death-heart,Romans (teksten)
popkin-death-wears-white,Fiction
clevely-deaths-counterfeit,Fiction
hichens-december-love,Fiction
waugh-decline-fall,Fiction
spengler-decline-west,History
bristow-deep-summer,Fiction
bristow-deep-summer,Historical fiction
fisher-deepening-stream,Fiction
fisher-deepening-stream,History
chesterton-defendant,Essays
stephens-demi-gods,Fiction
hare-describe-circle,Fiction
hardy-desperate-remedies,Fiction
hardy-desperate-remedies,Novels
ohiggins-detective-duff-unravels,Domestic fiction
ohiggins-detective-duff-unravels,Fiction
ohiggins-detective-duff-unravels,Mystery fiction
ohiggins-detective-duff-unravels,Short stories
fletcher-detective-1-case,Periodicals
nicoll-development-theatre,History
thayer-dial,Periodicals
meredith-diana-crossways,Fiction
henderson-dianne-poytiers,Biography
crowley-diary-drug-fiend,Fiction
crowley-diary-drug-fiend,Memoirs
james-diary-man-fifty,Fiction
romanov-diary-soviet-marriage,Domestic fiction
romanov-diary-soviet-marriage,Fiction
king-hall-diary-young-lady,Diary fiction
king-hall-diary-young-lady,Fiction
evelyn-diary-john-evelyn,Biography
evelyn-diary-john-evelyn,History
pepys-diary-samuel-pepys,History
pepys-diary-samuel-pepys,Sources
lagerlof-diary-selma-lagerlof,Biography
dowson-dilemmas-stories-studies,Fiction
murry-discoveries-essays-literary,"Criticism, interpretation, etc."
drew-discovering-drama,"Criticism, interpretation, etc."
drew-discovering-drama,History
andersen-nexo-ditte-daughter-man,Fiction
kipling-diversity-creatures,Fiction
kipling-diversity-creatures,Juvenile works
kipling-diversity-creatures,Science fiction
propper-divorce-court-murder,Fiction
collins-doctor-looks-biography,"Criticism, interpretation, etc."
collins-doctor-looks-literature,Biography
collins-doctor-looks-literature,"Criticism, interpretation, etc."
ashton-doctor-serocold,Fiction
auden-dog-beneath-skin,Drama
ibsen-dolls-house,Fiction
maugham-don-fernando,"Criticism, interpretation, etc."
maugham-don-fernando,History
donne-donnes-sermons-selected,Sermons
golding-doomington-wanderer,Fiction
wells-doorstep-murders-kenneth,Detective and mystery fiction
wells-doorstep-murders-kenneth,Fiction
wells-doorstep-murders-kenneth,Mystery fiction
dehan-dop-doctor,Fiction
powys-dorothy-richardson,"Criticism, interpretation, etc."
dostoevskaia-dostoevsky-portrayed-wife,Biography
meier-graefe-dostoevsky-man-work,Biography
royde-smith-double-heart-study,Biography
couperus-dr-adriaan,Romans (teksten)
couperus-dr-adriaan,Vertalingen (vorm)
howells-dr-breens-practice,Fiction
stoker-dracula,Classic fiction
stoker-dracula,Fiction
stoker-dracula,Ghost stories
van-dine-dragon-murder-case,Fiction
wilson-dragons-blood,Fiction
shaw-dramatic-opinions-essays,"Criticism, interpretation, etc."
montague-dramatic-values,"Criticism, interpretation, etc."
montague-dramatic-values,Drama
jonson-dramatic-works-lyrics,Biography
williams-dreadful-night,Fiction
grahame-dream-days,Fiction
fletcher-dressing-room-murder,Fiction
fletcher-dressing-room-murder,Mystery fiction
gardiner-drink-mr-cherry,Fiction
gardiner-drink-mr-cherry,Mystery fiction
boyd-drums,Fiction
boyd-drums,History
edmonds-drums-along-mohawk,Fiction
edmonds-drums-along-mohawk,History
joyce-dubliners,Fiction
rogers-dusk-grove,Fiction
dopp-early-farmers,Juvenile works
mackenzie-early-life-adventures,Fiction
hardy-early-life-thomas,Biografieën (vorm)
yeats-early-memories-chapters,Biography
reed-early-tudor-drama,"Criticism, interpretation, etc."
austin-earth-horizon,Biography
maugham-east-west-collected,Fiction
glenn-east-eden,Fiction
buck-east-wind-west,Fiction
bede-ecclesiastical-history-english,Church history
beckett-echos-bones-precipitates,Poetry
ransome-edgar-allan-poe,"Criticism, interpretation, etc."
cummings-eimi,Biography
bordeux-eleonora-duse-story,Biography
pound-eleven-new-cantos,American poetry
pound-eleven-new-cantos,Poetry
strachey-elizabeth-essex-tragic,Biography
harrison-elizabethan-journal,History
aydelotte-elizabethan-rogues-vagabonds,History
lewis-elmer-gantry,Fiction
bennett-elsie-child-stories,Fiction
bennett-elsie-child-stories,Short stories
austen-emma,Fiction
austen-emma,Humorous fiction
austen-emma,Love stories
dobree-emperors-tigers,Fiction
adams-empty-bed,Fiction
gibbons-enbury-heath,Fiction
richardson-end-childhood-stories,Fiction
kaye-smith-end-house-alard,Fiction
thackeray-english-humorists-eighteenth,Biography
thackeray-english-humorists-eighteenth,"Criticism, interpretation, etc."
english-literature,"Criticism, interpretation, etc."
mottram-english-miss,Fiction
gould-english-novel-today,Biography
peacock-english-verse,Poetry
masefield-enslaved-poems,Poetry
beckford-episodes-vathek,Fantastic fiction
beckford-episodes-vathek,Fiction
beckford-episodes-vathek,Gothic fiction
butler-erewhon-revisited-twenty,English fiction
butler-erewhon-revisited-twenty,Fiction
butler-erewhon-revisited-twenty,"Satire, English"
butler-erewhon-revisited-twenty,Satires
scott-escapade,Fiction
lawrence-escaped-cock,Fiction
lawrence-escaped-cock,Manuscripts
gingrich-esquire,Periodicals
macaulay-essay-bacon-2,Biography
pope-essay-criticism,Early works
emerson-essays,Specimens
yeats-essays,Literature
macaulay-macaulay-essays,Biography
thoreau-essays-writings-henry,American prose literature
thoreau-essays-writings-henry,Conference papers and proceedings
thoreau-essays-writings-henry,Fiction
matthews-essays-english,Aufsatzsammlung
moore-esther-waters,Fiction
stephens-etched-moonlight,Fiction
stephens-etched-moonlight,Short stories
fitzgerald-euphranor-dialogue-youth,Poems
belloc-europe-faith,History
jackson-europe-since-war,History
putnam-european-caravan,"Criticism, interpretation, etc."
burney-evelina-history-young,Fiction
stein-everybodys-autobiography,Biography
stein-everybodys-autobiography,Powieść autobiograficzna amerykańska
frankau-everywoman-novel,Fiction
murry-evolution-intellectual,History
cowley-exiles-return-narrative,"Criticism, interpretation, etc."
joyce-exiles,Galley proofs (Publishing)
pain-exit-eliza,Fiction
smollett-expedition-humphry-clinker,Fiction
smollett-expedition-humphry-clinker,Novels
wells-experiment-autobiography-discoveries,Biography
erskine-experiment-sincerity,Fiction
arnim-expiation,Fiction
lewisohn-expression-america,"Criticism, interpretation, etc."
mackenzie-extraordinary-women-theme,Fiction
huxley-eyeless-gaza,Fiction
bramah-eyes-max-carrados,Detective and mystery fiction
bramah-eyes-max-carrados,Fiction
bramah-eyes-max-carrados,Mystery and detective fiction
bramah-eyes-max-carrados,Mystery fiction
roberts-faber-book-modern,Fiction
ade-fables-slang,Fiction
collins-facts-fiction,"Criticism, interpretation, etc."
richardson-familiar-letters-important,Early works
richardson-familiar-letters-important,Sources
oflaherty-famine,Fiction
nichols-fantastica,Fantasy fiction
nichols-fantastica,Fiction
nichols-fantastica,Short stories
young-far-forest,Fiction
priestley-faraway,Fiction
white-farewell-victoria,Fiction
louis-bromfield-farm,Fiction
walpole-farthing-hall,Fiction
molnar-fashions-men-swan,Translations
le-queux-fatal-face,Fiction
lincoln-february-hill,Fiction
farrell-fellow-countrymen-collected,Fiction
maxwell-fernande,Fiction
coppard-field-mustard,Fiction
hemingway-fifth-column-first,Drama
hemingway-fifth-column-first,Fiction
hemingway-fifth-column-first,History
hemingway-fifth-column-first,War stories
clason-fifth-tumbler,Detective and mystery fiction
clason-fifth-tumbler,Fiction
loving-fifty-contemporary-one,Collections
de-kruif-fight-life,History
buck-fighting-angel,Biographies
buck-fighting-angel,Biography
taylor-figure-away-asey,Fiction
james-figure-carpet,Publishers' advertisements
mackenzie-figure-eight,Fiction
mackenzie-figure-eight,Roman anglais
green-filigree-ball-full,Fiction
green-filigree-ball-full,Mystery and detective fiction
dreiser-financier,Fiction
van-vechten-firecrackers-realistic-novel,American fiction
van-vechten-firecrackers-realistic-novel,Fiction
wells-first-men-moon,Fiction
enters-first-person-plural,Biography
enters-first-person-plural,Book-cloth
enters-first-person-plural,Bookbinding
sayers-five-red-herrings,Detective and mystery fiction
sayers-five-red-herrings,Fiction
henderson-five-roman-emperors,History
adams-flagrant-years,Fiction
hecht-florentine-dagger-novel,Fiction
hunt-flurried-years,Autobiographies
hunt-flurried-years,Biographies
hunt-flurried-years,Biography
chramoff-flying-osip-stories,Fiction
chramoff-flying-osip-stories,Translations
wells-food-gods-came,Fiction
kennedy-fool-family,Fiction
knox-footsteps-lock,Fiction
fielding-footsteps-stopped,Fiction
fielding-footsteps-stopped,Mystery fiction
maxwell-better-worse,Fiction
howells-foregone-conclusion,Fiction
hewlett-forest-lovers,Fiction
hewlett-forest-lovers,Historical fiction
hewlett-forest-lovers,Romance fiction
galsworthy-forsytes-pendyces-others,Biography
walpole-fortress,Fiction
walpole-fortress,History
sabatini-fortunes-fool,Fiction
scott-fortunes-nigel,Fiction
crofts-found-floating-inspector,Detective and mystery fiction
crofts-found-floating-inspector,Detective and mystery stories
crofts-found-floating-inspector,Fiction
morgan-fountain,Fiction
henry-four-million,Fiction
de-charriere-four-tales-zelide,Fiction
starrett-fourteen-great-detective,Fiction
bryher-fourteenth-october,Fiction
bryher-fourteenth-october,History
lucas-dubreton-fourth-musketeer-life,Biography
williams-fox-prowls,Fiction
joyce-fragments-work-progress,Fiction
trollope-framley-parsonage,Fiction
huneker-franz-liszt,Biography
galsworthy-fraternity,Fiction
brackenbury-frederick-great,Biography
bentley-freedom-farewell,Fiction
bentley-freedom-farewell,History
galsworthy-freelands,Fiction
coyle-french-husband,Fiction
french-revolution,History
dobree-anne-victoria-essays,Biography
dobree-anne-victoria-essays,History
fugitive,Periodicals
yeats-full-moon-march,Poezja angielska
hanley-furys,Dust jackets
hanley-furys,Fiction
ertz-galaxy,Periodicals
mansfield-garden-party-stories,Fiction
mansfield-garden-party-stories,"Short stories, New Zealand"
hecht-gargoyles,Fiction
pater-gaston-latour-unfinished,Fiction
sayers-gaudy-night,Fiction
saroyan-gay-melancholy-flux,Fiction
whistler-gentle-art-making,Anecdotes
whistler-gentle-art-making,Records and correspondence
maugham-gentleman-parlour,Biography
maugham-gentleman-parlour,History
maugham-gentleman-parlour,Mystery fiction
loos-gentlemen-prefer-blondes,Fiction
